reactor,fa,fb,fe,ok
35,70,55.2631578947368,3.68421052631579,1
35,70,55.2631578947368,7.36842105263158,1
35,70,55.2631578947368,11.0526315789474,1
35,70,55.2631578947368,14.7368421052632,1
35,70,55.2631578947368,18.421052631579,1
35,70,55.2631578947368,22.1052631578947,1
35,70,55.2631578947368,25.7894736842105,1
35,70,55.2631578947368,29.4736842105263,1
35,70,55.2631578947368,33.1578947368421,1
35,70,55.2631578947368,36.8421052631579,1
35,70,55.2631578947368,40.5263157894737,1
35,70,55.2631578947368,44.2105263157895,1
35,70,55.2631578947368,47.8947368421053,0
35,70,55.2631578947368,51.5789473684211,0
35,70,55.2631578947368,55.2631578947368,0
35,70,55.2631578947368,58.9473684210526,0
35,70,55.2631578947368,62.6315789473684,0
35,70,55.2631578947368,66.3157894736842,0
35,70,55.2631578947368,70,0
35,70,73.6842105263158,0,1
35,70,73.6842105263158,3.68421052631579,1
35,70,73.6842105263158,7.36842105263158,1
35,70,73.6842105263158,11.0526315789474,1
35,70,73.6842105263158,14.7368421052632,1
35,70,73.6842105263158,18.421052631579,1
35,70,73.6842105263158,22.1052631578947,1
35,70,73.6842105263158,25.7894736842105,1
35,70,73.6842105263158,29.4736842105263,1
35,70,73.6842105263158,33.1578947368421,1
35,70,73.6842105263158,36.8421052631579,1
35,70,73.6842105263158,40.5263157894737,1
35,70,73.6842105263158,44.2105263157895,1
35,70,73.6842105263158,47.8947368421053,0
35,70,73.6842105263158,51.5789473684211,0
35,70,73.6842105263158,55.2631578947368,0
35,70,73.6842105263158,58.9473684210526,0
35,70,73.6842105263158,62.6315789473684,0
35,70,73.6842105263158,66.3157894736842,0
35,70,73.6842105263158,70,0
35,70,92.1052631578947,0,1
35,70,92.1052631578947,3.68421052631579,1
35,70,92.1052631578947,7.36842105263158,1
35,70,92.1052631578947,11.0526315789474,1
35,70,92.1052631578947,14.7368421052632,1
35,70,92.1052631578947,18.421052631579,1
35,70,92.1052631578947,22.1052631578947,1
35,70,92.1052631578947,25.7894736842105,1
35,70,92.1052631578947,29.4736842105263,1
35,70,92.1052631578947,33.1578947368421,1
35,70,92.1052631578947,36.8421052631579,1
35,70,92.1052631578947,40.5263157894737,1
35,70,92.1052631578947,44.2105263157895,1
35,70,92.1052631578947,47.8947368421053,0
35,70,92.1052631578947,51.5789473684211,0
35,70,92.1052631578947,55.2631578947368,0
35,70,92.1052631578947,58.9473684210526,0
35,70,92.1052631578947,62.6315789473684,0
35,70,92.1052631578947,66.3157894736842,0
35,70,92.1052631578947,70,0
35,70,110.526315789474,0,1
35,70,110.526315789474,3.68421052631579,1
35,70,110.526315789474,7.36842105263158,1
35,70,110.526315789474,11.0526315789474,1
35,70,110.526315789474,14.7368421052632,1
35,70,110.526315789474,18.421052631579,1
35,70,110.526315789474,22.1052631578947,1
35,70,110.526315789474,25.7894736842105,1
35,70,110.526315789474,29.4736842105263,1
35,70,110.526315789474,33.1578947368421,1
35,70,110.526315789474,36.8421052631579,1
35,70,110.526315789474,40.5263157894737,1
35,70,110.526315789474,44.2105263157895,1
35,70,110.526315789474,47.8947368421053,0
35,70,110.526315789474,51.5789473684211,0
35,70,110.526315789474,55.2631578947368,0
35,70,110.526315789474,58.9473684210526,0
35,70,110.526315789474,62.6315789473684,0
35,70,110.526315789474,66.3157894736842,0
35,70,110.526315789474,70,0
35,70,128.947368421053,0,1
35,70,128.947368421053,3.68421052631579,1
